代码,名称,上市日期,退市日期,证券类型,上市状态,所属板块,流通市值,总市值,动态市盈率
600206,有研新材,1999-03-19,,1,1,沪市主板,18666500971.0,18666500971.0,0.0
600207,安彩高科,1999-07-14,,1,1,沪市主板,5370310891.0,5370310891.0,0.0
600208,衢州发展,1999-06-23,,1,1,沪市主板,34967782745.0,34971746688.0,0.0
600209,退市罗顿,1999-03-25,2022-06-22,1,0,沪市主板,0.0,0.0,0.0
600210,紫江企业,1999-08-24,,1,1,沪市主板,11481692716.0,11481692716.0,0.0
600211,西藏药业,1999-07-21,,1,1,沪市主板,14491471052.0,14491471052.0,0.0
600212,绿能慧充,1999-08-17,,1,1,沪市主板,4291936121.0,5690479081.0,0.0
600213,*ST亚星,1999-08-31,2024-10-17,1,0,沪市主板,0.0,0.0,0.0
600215,派斯林,1999-09-09,,1,1,沪市主板,3865229165.0,3865229165.0,0.0
600216,浙江医药,1999-10-21,,1,1,沪市主板,13367022124.0,13511010388.0,0.0
600217,中再资环,1999-12-16,,1,1,沪市主板,6945568890.0,6945568890.0,0.0
600218,全柴动力,1998-12-03,,1,1,沪市主板,4639139137.0,4639139137.0,0.0
600219,南山铝业,1999-12-23,,1,1,沪市主板,67179654120.0,67179654120.0,0.0
