code,name,section,next_crawl_index,market_cap
002073,软控股份,深市主板,0,854549.9693
002074,国轩高科,深市主板,0,7637194.156
002075,沙钢股份,深市主板,0,1217571.1656
002077,大港股份,深市主板,0,989494.2147
002078,太阳纸业,深市主板,0,4038332.6034
002079,苏州固锝,深市主板,0,855535.7767
002080,中材科技,深市主板,0,5643529.613
002081,金 螳 螂,深市主板,0,925611.7112
002082,万邦德,深市主板,0,613004.2376
002083,孚日股份,深市主板,0,457075.2223
002084,海鸥住工,深市主板,0,232068.3991
002085,万丰奥威,深市主板,0,3928100.412
002086,东方海洋,深市主板,0,409553.0836
002088,鲁阳节能,深市主板,0,638814.5104
002090,金智科技,深市主板,0,444727.666
002091,江苏国泰,深市主板,0,1410373.0083
002092,中泰化学,深市主板,0,1177054.0063
002093,国脉科技,深市主板,0,1124370.0
002094,青岛金王,深市主板,0,552362.8392
002095,生 意 宝,深市主板,0,489321.1588
002096,易普力,深市主板,0,949778.7989
002097,山河智能,深市主板,0,1358037.11
002098,浔兴股份,深市主板,0,316820.0438
002099,海翔药业,深市主板,0,914484.9905
002100,天康生物,深市主板,0,1029399.6423
002101,广东鸿图,深市主板,0,916501.6834
002102,能特科技,深市主板,0,806139.9581
002103,广博股份,深市主板,0,365403.6132
002104,恒宝股份,深市主板,0,1317496.9688
002105,信隆健康,深市主板,0,242738.3354
002106,莱宝高科,深市主板,0,850553.8969
002107,沃华医药,深市主板,0,354301.5563
002108,沧州明珠,深市主板,0,644510.209
002109,兴化股份,深市主板,0,476048.6544
002110,三钢闽光,深市主板,0,983775.8719
002111,威海广泰,深市主板,0,479628.0634
002112,三变科技,深市主板,0,338082.6195
002114,罗平锌电,深市主板,0,235105.1283
002115,三维通信,深市主板,0,798831.655
002116,中国海诚,深市主板,0,453948.7544
002117,东港股份,深市主板,0,603134.9914
002119,康强电子,深市主板,0,662751.544
002120,韵达股份,深市主板,0,2094452.2188
002121,科陆电子,深市主板,0,1196933.6554
002122,汇洲智能,深市主板,0,757511.4725
002123,梦网科技,深市主板,0,929608.7795
002124,天邦食品,深市主板,0,583816.9758
002125,湘潭电化,深市主板,0,862389.9468
002126,银轮股份,深市主板,0,3153240.6039
002127,南极电商,深市主板,0,700151.2819
002128,电投能源,深市主板,0,4998708.8894
002129,TCL中环,深市主板,0,3680476.2514
002130,沃尔核材,深市主板,0,3718518.679
002131,利欧股份,深市主板,0,3158850.9368
002132,恒星科技,深市主板,0,541599.5944
002133,广宇集团,深市主板,0,269454.5704
002134,天津普林,深市主板,0,515964.2376
002135,东南网架,深市主板,0,449906.5529
002136,安 纳 达,深市主板,0,227966.4729
002137,实益达,深市主板,0,332232.4166
002138,顺络电子,深市主板,0,2664423.3667
002139,拓邦股份,深市主板,0,1672917.5325
002140,东华科技,深市主板,0,666802.6506
002141,贤丰控股,深市主板,0,380076.1364
002142,宁波银行,深市主板,0,17403902.9841
002144,宏达高科,深市主板,0,180176.3573
002145,中核钛白,深市主板,0,1972573.7583
