ETF代码,ETF名称,基金规模,next_crawl_index
159293,创业板综增强ETF建信,0.50486701,763
159570,港股通创新药ETF,250.56845063,763
562660,中证2000ETF华夏,5.08661844,763
513090,香港证券ETF易方达,268.35651276,763
159546,集成电路ETF,2.57385249,763
510980,上证指数ETF汇添富,3.5149114,763
530530,上证580ETF华夏,3.3519084,763
159603,双创龙头ETF,37.62169349,763
563850,食品ETF广发,0.8893628,763
530100,上证580ETF易方达,2.55124576,763
588310,双创ETF基金,0.4800675,763
516510,云计算ETF易方达,29.1434076,763
520610,港股红利低波ETF银华,5.91553971,763
516310,银行ETF易方达,25.91365226,763
562950,消费电子ETF易方达,8.76736563,763
588000,科创50ETF,788.0352251,763
159105,恒生生物科技ETF易方达,0.95424797,763
159898,医疗器械指数ETF,7.93466951,763
159527,云计算ETF广发,2.90110669,763
513980,港股科技50ETF,225.22857345,763
159536,中证2000ETF汇添富,0.60737678,763
159158,电力ETF景顺,14.94279814,763
516050,科技龙头ETF工银,2.67673888,763
159730,家电ETF博时,0.52613902,763
516670,畜牧养殖ETF,13.2912375,763
159740,恒生科技ETF大成,190.34423109,763
588950,科创50ETF景顺,3.10076603,763
159890,云计算ETF,5.90389442,763
159869,游戏ETF,134.14228268,763
588320,双创50ETF增强,0.447369,763
159302,港股高股息ETF,1.41662998,763
159237,港股汽车ETF工银,0.45212953,763
513850,美国50ETF易方达,18.02664669,763
159295,创业综指ETF西部利得,1.58420982,763
520670,港股通科技ETF嘉实,1.78958133,763
516210,银行ETF指数基金,1.44286037,763
159738,云计算ETF华泰柏瑞,3.57090371,763
562060,标普A股红利ETF华宝,34.22709265,763
588140,科创200ETF广发,4.30845451,763
515100,红利低波100ETF,58.52007298,763
159578,深证主板50ETF南方,0.35788605,763
159299,金融科技ETF易方达,2.04329345,763
588280,科创50ETF指数基金,4.08320632,763
563660,A500ETF银河,1.08469908,763
563790,卫星ETF鹏华,11.339144,763
159139,科创创业人工智能ETF华泰柏瑞,4.42864581,763
159101,港股通科技ETF基金,31.90086802,763
516590,智能汽车ETF易方达,0.83934365,763
520860,港股通科技ETF富国,6.49397067,763
563670,金融科技ETF鹏华,1.88852196,763
512630,卫星ETF广发,17.07406614,763
515450,红利低波50ETF,149.18272497,763
159993,证券ETF鹏华,41.7222045,763
159118,港股通红利低波ETF基金,1.35728591,763
516660,新能源车ETF基金,2.70806661,763
563690,红利低波ETF永赢,0.56887876,763
159220,港股通红利低波ETF华宝,2.82553784,763
516390,新能源车ETF汇添富,2.31860698,763
515290,银行ETF天弘,49.97170836,763
159907,2000ETF,1.95020603,763
159142,科创创业人工智能ETF景顺,6.12706483,763
510200,上证券商ETF汇安,1.87114116,763
513800,日本东证指数ETF南方,18.22337628,763
562600,医疗器械ETF,5.66255044,763
520570,恒生科技ETF南方,28.23495756,763
561780,1000增强ETF博时,0.27908126,763
159239,港股通汽车ETF富国,0.90009911,763
159969,深100ETF银华,0.25100976,763
516610,医疗设备ETF大成,0.9062345,763
159807,科技ETF易方达,8.12880208,763
563960,300质量ETF兴全,4.4402688,763
516010,游戏ETF,32.92821129,763
159793,线上消费ETF基金,0.38547629,763
159747,香港科技ETF南方,4.6567443,763
561130,国货ETF富国,1.21456496,763
510230,金融ETF,45.68113184,763
515010,证券ETF华夏,18.50442574,763
517900,银行AH优选ETF,9.85702542,763
159975,深100ETF招商,0.48596814,763
513630,港股低波红利ETF摩根,162.83644977,763
159549,红利低波ETF天弘,53.51614894,763
159525,红利低波ETF,4.39535681,763
560510,中证A500ETF,34.50632679,763
588660,科创创业50ETF基金,0.77667456,763
159556,中证2000ETF增强,0.20689598,763
515580,科技100ETF,5.49237867,763
530580,上证180ETF南方,0.79156035,763
515400,大数据ETF,17.64874552,763
159851,金融科技ETF,105.86439414,763
159698,粮食ETF,4.14712546,763
588180,科创50ETF基金,14.85715426,763
159877,医疗ETF南方,1.18281414,763
159365,恒指ETF,1.7556274,763
159561,德国ETF嘉实,21.80034268,763
513400,道琼斯ETF,26.7216153,763
159586,计算机ETF南方,4.72927143,763
159692,证券ETF东财,10.43554023,763
516000,大数据ETF华夏,3.79354634,763
588330,双创龙头ETF,10.05232229,763
513890,恒生科技ETF摩根,9.52492296,763
560620,公用事业ETF万家,0.4593498,763
512570,证券ETF易方达,25.38158387,763
588400,科创创业ETF嘉实,15.91044572,763
159637,新能源车ETF东财,8.82387865,763
588860,科创医药ETF工银,3.00651475,763
512900,证券ETF南方,71.78145716,763
159679,中证1000增强ETF国泰,0.88910062,763
159228,红利低波ETF长城,1.61614901,763
159806,新能源车ETF,9.20113341,763
159848,证券ETF国联安,1.38522697,763
512890,红利低波ETF华泰柏瑞,297.5629521,763
589120,科创创新药ETF汇添富,4.8194592,763
159778,工业互联网ETF鹏华,0.72796243,763
159782,双创50ETF,7.40322143,763
516100,金融科技ETF华夏,13.996339,763
159328,家电ETF易方达,1.22023545,763
510380,沪深300ETF国寿,13.91024719,763
159260,证券ETF博时,9.46835352,763
517850,张江ETF汇添富,0.53153352,763
516380,智能电动车ETF,0.99495735,763
516700,大数据ETF华宝,1.09859214,763
515700,新能车ETF,19.94884663,763
560090,证券ETF汇添富,34.17385545,763
563060,央企50ETF易方达,2.64311929,763
512000,券商ETF,389.82362407,763
513530,港股通红利ETF华泰柏瑞,35.28315961,763
159331,红利港股ETF国泰,2.77563258,763
159842,券商ETF,108.76261266,763
159739,云计算ETF鹏华,4.96585482,763
530060,上证指数ETF易方达,1.56505386,763
159289,创业板综指ETF鹏华,0.70995833,763
561170,绿色电力ETF,2.09286493,763
517050,互联网ETF华泰柏瑞,3.22021987,763
159970,深100ETF工银,0.13913948,763
588230,科创200ETF,13.32702044,763
515030,新能源车ETF,39.97105152,763
562900,农业ETF易方达,1.12485264,763
516860,金融科技ETF博时,17.5535646,763
516760,养殖ETF,1.53261966,763
159750,港股科技50ETF,15.98563219,763
510150,消费ETF,18.87386592,763
159218,卫星产业ETF,43.02582254,763
562870,证券ETF嘉实,4.02528143,763
159568,港股互联网ETF博时,5.27240668,763
563570,金融科技ETF兴业,1.09592016,763
159563,创业板综ETF华夏,0.4321743,763
561590,中证1000增强ETF,0.44137391,763
560000,智能电车ETF浦银,0.08719923,763
159991,创大盘ETF,0.94047505,763
159307,红利低波100ETF博时,30.77260511,763
512970,大湾区ETF,0.5863735,763
560820,中证A50ETF新华,0.52228014,763
159292,创业板综增强ETF华宝,0.58191215,763
515560,证券ETF建信,2.05390431,763
561990,沪深300增强ETF招商,4.88769346,763
588300,科创创业50ETF招商,17.21606866,763
159841,证券ETF,106.65576858,763
159117,港股通红利低波ETF,0.89155833,763
159716,深证100ETF华宝,0.56994069,763
159521,国证2000ETF指数基金,0.21048171,763
512880,证券ETF,563.31210169,763
560810,央企ESGETF融通,7.1968572,763
159202,恒生互联网ETF万家,12.85594224,763
159550,互联网ETF东财,1.56545027,763
159933,金融地产ETF国投瑞银,1.1956205,763
159587,粮食ETF广发,0.76073327,763
159238,300ETF增强,0.42996459,763
159528,国企改革ETF富国,0.16797495,763
512640,金融地产ETF嘉实,0.56591592,763
159206,卫星ETF,187.22490113,763
159207,高股息ETF,5.76828629,763
515730,家居家电ETF永赢,0.47495736,763
510060,央企ETF工银,1.07722696,763
563630,A500增强ETF国联安,0.4561687,763
588700,科创医药ETF嘉实,2.97826527,763
159948,创业板ETF南方,48.79363544,763
159867,畜牧ETF,7.92292894,763
517950,沪深港科技50ETF交银,0.69621244,763
159783,科创创业50ETF,48.85991532,763
530280,上证180ETF指数基金,0.57903198,763
510360,沪深300ETF广发,35.26656155,763
513780,港股创新药50ETF,28.91309947,763
513040,港股通互联网ETF易方达,101.09909911,763
159780,科创创业50ETF南方,32.75505176,763
159535,中证2000ETF嘉实,0.17042649,763
159330,沪深300ETF东财,4.82546048,763
515850,证券ETF富国,3.5204695,763
520720,港股汽车ETF国泰,1.35480524,763
563530,卫星ETF易方达,13.8273444,763
515360,方正沪深300ETF,2.50136745,763
510660,医药ETF华夏,0.86503367,763
516200,证券ETF指数基金,3.70937688,763
563230,卫星ETF,49.51186518,763
515200,创新100ETF申万菱信,1.11722938,763
516970,基建ETF广发,17.4483676,763
520560,香港大盘30ETF,7.43464973,763
159721,深证100ETF永赢,0.74166013,763
515050,通信ETF华夏,78.13689048,763
159107,创业板软件ETF富国,7.89490353,763
159290,创业板综指增强ETF东财,0.90589142,763
513830,港股通高股息ETF嘉实,1.20662865,763
588390,科创创业ETF博时,2.35807387,763
516790,医疗ETF华泰柏瑞,0.99303538,763
561680,中证A500红利低波ETF,1.04585676,763
159240,中证A500增强ETF天弘,0.18961849,763
563520,沪深300ETF永赢,5.04014815,763
159827,农业ETF银华,0.79489951,763
588250,科创生物医药ETF,2.74892175,763
159318,恒指港股通ETF银华,0.34540712,763
159961,深100ETF方正富邦,3.16115892,763
