代码,名称,所属板块,流通市值,总市值,数据状态,动态市盈率,filter,next_crawl_index,质押股数
600573,惠泉啤酒,沪市主板,3040000000.00,3040000000.00,基础数据已获取,0.00,False,0,0.00
600575,淮河能源,沪市主板,13485325896.00,24868768830.00,基础数据已获取,0.00,False,0,0.00
600578,京能电力,沪市主板,36753469372.00,36753469372.00,基础数据已获取,0.00,False,0,0.00
600579,中化装备,沪市主板,4452278846.00,4452278846.00,基础数据已获取,0.00,False,0,0.00
600581,八一钢铁,沪市主板,5518432332.00,5518432332.00,基础数据已获取,0.00,False,0,0.00
600582,天地科技,沪市主板,24872919241.00,24872919241.00,基础数据已获取,0.00,False,0,0.00
600583,海油工程,沪市主板,28871446844.00,28871446844.00,基础数据已获取,0.00,False,0,0.00
600584,长电科技,沪市主板,87717102221.00,87717102221.00,基础数据已获取,0.00,False,0,0.00
600585,海螺水泥,沪市主板,94912942200.00,125752450200.00,基础数据已获取,0.00,False,0,0.00
600587,新华医疗,沪市主板,10123064103.00,10161296196.00,基础数据已获取,0.00,False,0,0.00
600592,龙溪股份,沪市主板,10384397310.00,10384397310.00,基础数据已获取,0.00,False,0,0.00
600596,新安股份,沪市主板,18084600457.00,18084600457.00,基础数据已获取,0.00,False,0,0.00
600597,光明乳业,沪市主板,11082781119.00,11082929055.00,基础数据已获取,0.00,False,0,0.00
600598,北大荒,沪市主板,27589592188.00,27589592188.00,基础数据已获取,0.00,False,0,0.00
600600,青岛啤酒,沪市主板,43816892018.00,84293616527.00,基础数据已获取,0.00,False,0,0.00
600602,云赛智联,沪市主板,21045595574.00,26792722983.00,基础数据已获取,0.00,False,0,0.00
600604,市北高新,沪市主板,8064716027.00,10734036527.00,基础数据已获取,0.00,False,0,0.00
600605,汇通能源,沪市主板,6013132805.00,6013132805.00,基础数据已获取,0.00,False,0,0.00
600609,金杯汽车,沪市主板,6601066303.00,6601066303.00,基础数据已获取,0.00,False,0,0.00
600610,中毅达,沪市主板,8306276983.00,12555338371.00,基础数据已获取,0.00,False,0,0.00
600611,大众交通,沪市主板,9504963493.00,14373867013.00,基础数据已获取,0.00,False,0,0.00
600612,老凤祥,沪市主板,14856586166.00,24508067243.00,基础数据已获取,0.00,False,0,0.00
600616,金枫酒业,沪市主板,3793258067.00,3793258067.00,基础数据已获取,0.00,False,0,0.00
600617,国新能源,沪市主板,5894801727.00,6404916696.00,基础数据已获取,0.00,False,0,0.00
600618,氯碱化工,沪市主板,11142622043.00,17184103643.00,基础数据已获取,0.00,False,0,0.00
600619,海立股份,沪市主板,16233325595.00,22078694431.00,基础数据已获取,0.00,False,0,0.00
600620,天宸股份,沪市主板,4944075214.00,4944075214.00,基础数据已获取,0.00,False,0,0.00
600621,华鑫股份,沪市主板,16878907736.00,16878907736.00,基础数据已获取,0.00,False,0,0.00
600622,光大嘉宝,沪市主板,4409075082.00,4409075082.00,基础数据已获取,0.00,False,0,0.00
600623,华谊集团,沪市主板,18156867167.00,20591463416.00,基础数据已获取,0.00,False,0,0.00
600626,申达股份,沪市主板,5905526524.00,7039569075.00,基础数据已获取,0.00,False,0,0.00
600629,华建集团,沪市主板,20615921792.00,20988425194.00,基础数据已获取,0.00,False,0,0.00
600630,龙头股份,沪市主板,4023439324.00,4023439324.00,基础数据已获取,0.00,False,0,0.57
600633,浙数文化,沪市主板,19528346869.00,19528346869.00,基础数据已获取,0.00,False,0,0.00
600639,浦东金桥,沪市主板,9123039823.00,12043490342.00,基础数据已获取,0.00,False,0,0.00
600640,国脉文化,沪市主板,11163614038.00,11163614038.00,基础数据已获取,0.00,False,0,0.22
600642,申能股份,沪市主板,40569711063.00,40571918027.00,基础数据已获取,0.00,False,0,5.00
600648,外高桥,沪市主板,12071747032.00,14428668633.00,基础数据已获取,0.00,False,0,0.00
600649,城投控股,沪市主板,12923223963.00,12923223963.00,基础数据已获取,0.00,False,0,0.00
600650,锦江在线,沪市主板,6651238077.00,9393920122.00,基础数据已获取,0.00,False,0,15.21
600651,飞乐音响,沪市主板,22287479053.00,22287479053.00,基础数据已获取,0.00,False,0,0.00
